X,Y,Country,Prov_Name,Pop,WindVel,GHI,SolarRestriction,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerFID,HydropowerDist,Hydropower,AgriDem
7228.630371,3427.003418,Afghanistan,Kandahar,8.567659378,4.505111694,2109.165527,1,11,0,843,0.104983293,16,256.9867554,248.2054596,261.2545471,89.53349304,660,169.0691833,4824.02,23.58221013
7238.802246,3427.003418,Afghanistan,Kandahar,22.61519241,4.505111694,2112.476807,1,11,0,848,0.571735263,16,255.8538666,242.1132965,259.7256165,79.68639374,660,176.1493988,4824.02,62.24759831
7248.974121,3427.003418,Afghanistan,Kandahar,6.063854218,4.505111694,2075.404053,1,0,0,856,0.109396443,16,255.1218262,236.0221863,258.5880737,69.93235016,658,182.9251862,2238.89,16.690566
6862.441895,3437.175537,Afghanistan,Kandahar,13.09542084,4.190000057,2054.949951,1,0,0,475,0.333385497,16,165.1772308,165.1772308,389.9207458,90.63381958,664,106.0698929,501.832,36.04472964
6872.61377,3437.175537,Afghanistan,Kandahar,41.98350525,4.190000057,2044.72998,1,11,0,479,0.499961942,16,163.0574646,163.0574646,382.1480408,86.8007431,664,98.36183929,501.832,115.5582638
6882.785645,3437.175537,Afghanistan,Kandahar,74.88949585,4.190000057,2048.051514,1,12,0,488,1.660393953,16,161.5515289,161.5515289,374.4902954,84.01324463,664,91.13843536,501.832,206.1309571
6892.95752,3437.175537,Afghanistan,Kandahar,105.5261078,4.190000057,2054.949951,1,12,0,493,0.131557018,16,160.676651,160.676651,366.9547424,78.973526,664,84.52404022,501.832,290.4572577
6903.129395,3437.175537,Afghanistan,Kandahar,113.4689331,4.190000057,2058.565674,1,13,0,499,0.817403972,16,160.4431763,160.4431763,359.5490417,74.07262421,664,78.67240906,501.832,312.3196319
6913.30127,3437.175537,Afghanistan,Kandahar,113.4689331,4.190000057,2058.239014,1,13,0,512,1.02899003,16,160.8538818,160.8538818,352.2814026,70.22606659,664,73.76528931,501.832,312.3196319
6923.473145,3437.175537,Afghanistan,Kandahar,113.4689331,4.190000057,2054.219971,1,14,0,551,0.844436824,16,161.9039001,161.9039001,345.160553,67.06256866,664,70.00160217,501.832,312.3196319
6933.64502,3437.175537,Afghanistan,Kandahar,113.4689331,4.190000057,2048.745117,1,13,0,558,0.731921077,16,163.5808716,163.5808716,338.1957397,64.42227936,664,67.57266235,501.832,312.3196319
6943.816895,3437.175537,Afghanistan,Kandahar,113.4689331,4.190000057,2045.824951,1,10,0,562,1.809075117,16,165.8658295,165.8658295,331.3967896,63.13767242,664,66.62463379,501.832,312.3196319
