Country,X,Y,Pop,GridDistCurrent,GridDistPlan,RoadDist,NightLights,TravelHours,GHI,WindVel,Hydropower,HydropowerDist,SubstationDist,LandCover,Elevation,Slope,SolarRestriction
Swaziland,3525.486328,-3141.875977,0.199103966,56.03471756,48.24413681,4.208285332,0,4,1900,5,2910.889893,31.31697655,46.58427811,8,302,2.018002033,1
Swaziland,3526.486328,-3141.875977,13.25626373,55.5390625,47.89505386,4.01113987,0,4,1900,5,2910.889893,32.20369339,45.83189392,9,286,2.136068583,1
Swaziland,3527.486328,-3141.875977,17.00632095,54.86808014,47.54597473,4.058179379,0,4,1900,5,2910.889893,33.09686661,45.08913422,8,275,1.927582741,1
Swaziland,3528.486328,-3141.875977,8.915344238,54.20724106,47.19689178,4.329734802,0,4,1900,5,2910.889893,33.99599075,44.35648346,9,259,1.162218928,1
Swaziland,3529.486328,-3141.875977,10.54110718,53.5569191,46.84780884,4.608564377,0,4,1900,6,2910.889893,34.90060806,43.63444901,14,246,0.472563267,0
Swaziland,3530.486328,-3141.875977,78.39916992,52.91750336,46.49872971,4.392876148,0,4,1900,6,2910.889893,35.8102951,42.92356491,14,230,1.964819074,1
Swaziland,3531.486328,-3141.875977,142.1046906,52.28939819,46.14964676,4.178303242,0,4,1900,6,2910.889893,36.72467804,42.22440338,8,212,0.43568328,1
Swaziland,3532.486328,-3141.875977,41.98894882,51.67300797,45.80056381,4.104251385,0,4,1900,6,2910.889893,37.64341736,41.53754425,8,210,0.871316195,1
Swaziland,3533.486328,-3141.875977,38.61639023,51.06875992,45.45148468,4.238733292,0,5,1883,6,2910.889893,38.56619644,40.86361694,8,258,3.84071064,1
Swaziland,3534.486328,-3141.875977,44.88604355,50.47709274,45.10240173,4.324502945,0,5,1883,6,2910.889893,39.49273682,40.20326996,9,291,7.296617985,1
Swaziland,3535.486328,-3141.875977,52.93554306,49.89845276,44.7533226,3.985409021,0,5,1883,6,2910.889893,40.4227829,39.5571785,8,494,24.95798302,1
Swaziland,3536.486328,-3141.875977,42.02111816,49.33329773,44.40423965,3.508973598,0,5,1883,6,158.0079956,40.25708771,38.92605591,9,322,9.008412361,1
Swaziland,3537.486328,-3141.875977,40.66275787,48.78209686,44.05515671,3.277545691,0,5,1874,6,158.0079956,39.53693008,38.31064606,8,362,14.99230099,1
Swaziland,3538.486328,-3141.875977,40.15295029,48.245327,43.70607758,3.250430822,0,5,1874,6,158.0079956,38.82916641,37.71170807,8,365,16.91027832,1
Swaziland,3539.486328,-3141.875977,44.31164551,47.72347641,43.35699463,3.359200716,0,5,1874,6,158.0079956,38.1344986,37.13005066,9,440,8.88093853,0
Swaziland,3540.486328,-3141.875977,58.87980652,47.21704102,43.00791168,3.74122715,0,5,1874,6,158.0079956,37.4536438,36.56649017,14,397,12.73041821,1
Swaziland,3541.486328,-3141.875977,59.65981674,46.72652054,42.65883255,4.177625179,0,5,1874,6,5291.879883,36.59466934,36.02187729,8,359,12.1279068,0
Swaziland,3542.486328,-3141.875977,59.53834152,46.25241852,42.3097496,3.578921556,0,5,1874,6,5291.879883,35.69315338,35.49708939,9,273,3.205286741,0
Swaziland,3543.486328,-3141.875977,13.45114803,45.79524994,41.96066666,2.980217695,0,5,1874,6,5291.879883,34.79701614,34.99301147,8,260,5.652478218,0
